amount,payment_method,failure_reason,attempt_count,days_since_failure,day_of_month,hour_of_day,previous_successes,previous_failures,previous_recovery_success,is_subscription,recovery_succeeded
442.21,upi,insufficient_funds,3,8.8,9,19,3,1,False,0,1
1139.93,card,insufficient_funds,1,4.7,3,9,10,2,True,0,0
997.44,netbanking,insufficient_funds,1,1.9,10,14,10,1,True,0,1
1335.07,upi,network_timeout,1,0.3,10,17,4,3,True,0,0
3196.77,card,card_expired,1,1.2,11,10,4,2,False,1,1
3971.63,subscription_mandate,insufficient_funds,1,3.1,11,11,11,0,False,1,1
986.21,upi,insufficient_funds,2,2.5,29,20,16,2,False,0,1
1199.07,upi,high_risk_fraud,1,1.0,22,11,1,1,False,1,1
6471.47,card,card_expired,1,4.8,5,10,10,1,False,0,0
11324.95,upi,card_expired,2,6.7,3,7,3,2,False,1,0
7557.72,card,insufficient_funds,2,3.2,30,15,10,0,True,0,0
554.63,subscription_mandate,insufficient_funds,1,0.3,18,13,2,2,False,1,1
7118.6,upi,network_timeout,2,1.0,7,21,2,2,False,1,1
12943.12,netbanking,network_timeout,2,5.9,17,15,2,0,False,0,1
530.41,card,card_expired,1,6.6,7,10,2,2,False,0,1
6466.76,card,authentication_failed,1,3.6,11,6,3,2,False,0,1
2989.0,upi,card_expired,2,4.6,12,20,10,1,True,0,1
1818.15,card,authentication_failed,1,0.5,15,17,3,3,False,0,1
2685.35,netbanking,insufficient_funds,1,1.4,22,15,4,1,True,0,1
3637.07,upi,insufficient_funds,1,3.0,15,12,3,1,False,0,1
6917.62,upi,authentication_failed,3,1.2,5,4,7,1,True,0,1
6603.88,card,authentication_failed,2,0.8,31,14,3,1,False,1,0
628.77,subscription_mandate,network_timeout,2,2.1,10,8,10,0,True,1,1
1361.3,subscription_mandate,bank_outage,1,0.7,21,17,7,1,False,1,1
2655.02,upi,network_timeout,2,1.4,13,19,9,1,True,0,1
10046.67,card,network_timeout,1,0.6,10,20,7,1,False,1,1
209.61,upi,insufficient_funds,4,0.8,19,6,3,0,False,0,0
1408.45,card,card_expired,1,1.2,25,12,1,0,False,0,1
617.02,card,bank_outage,2,1.3,15,15,8,0,False,0,1
711.63,upi,bank_outage,3,2.3,14,12,4,0,True,0,1
5926.34,upi,authentication_failed,3,2.6,18,16,6,0,True,0,1
1512.17,subscription_mandate,card_expired,1,1.5,3,13,8,1,True,1,1
298.77,card,insufficient_funds,1,2.2,6,8,4,1,True,0,0
2116.26,card,insufficient_funds,2,2.4,5,9,1,1,False,1,1
15249.07,upi,network_timeout,1,0.6,11,15,7,3,False,0,1
480.09,card,insufficient_funds,1,1.3,18,18,4,0,False,1,0
3942.79,card,authentication_failed,1,2.1,17,1,8,0,False,0,1
10005.93,upi,insufficient_funds,1,0.4,6,11,2,2,False,0,1
2334.42,card,card_expired,1,5.2,22,10,14,0,False,0,1
13838.37,upi,network_timeout,1,0.2,26,21,8,0,False,0,1
1347.72,card,card_expired,1,5.3,25,11,10,1,False,0,1
8967.35,netbanking,network_timeout,1,3.2,6,12,3,1,False,0,0
7251.35,upi,insufficient_funds,5,0.6,11,17,17,0,True,0,0
2370.18,card,card_expired,1,1.9,12,8,7,1,True,0,1
640.03,netbanking,bank_outage,2,0.0,4,10,4,1,True,0,1
990.73,netbanking,authentication_failed,5,1.1,18,20,4,0,True,0,1
295.96,card,insufficient_funds,1,2.5,29,16,4,1,True,1,1
4166.1,card,insufficient_funds,2,2.6,31,13,9,1,False,0,1
3740.11,upi,bank_outage,1,4.9,15,16,6,0,False,0,1
2620.96,card,high_risk_fraud,1,1.6,2,15,4,0,True,0,0
2185.41,card,network_timeout,1,2.9,26,10,6,0,True,0,1
