amount,payment_method,failure_reason,attempt_count,days_since_failure,day_of_month,hour_of_day,previous_successes,previous_failures,previous_recovery_success,is_subscription,recovery_succeeded
7687.51,upi,card_expired,3,2.7,29,19,14,2,True,0,1
1219.82,netbanking,insufficient_funds,2,0.3,18,6,2,2,False,1,0
7118.6,upi,network_timeout,2,1.0,7,21,2,2,False,1,1
4125.35,netbanking,card_expired,1,0.9,2,13,7,1,True,1,1
1401.75,upi,insufficient_funds,2,10.6,22,11,5,0,False,0,1
5178.31,card,bank_outage,1,0.1,20,10,15,0,True,1,1
1608.8,upi,network_timeout,2,4.8,14,11,14,1,False,0,1
18330.19,card,insufficient_funds,1,0.7,29,8,5,1,False,0,1
1195.18,upi,bank_outage,2,0.0,31,11,9,1,True,0,1
2159.8,card,network_timeout,3,2.4,8,11,13,0,False,0,1
697.63,card,bank_outage,1,0.8,1,8,4,0,False,0,1
2774.84,card,bank_outage,2,1.9,4,17,3,0,False,1,1
12888.35,card,high_risk_fraud,1,0.7,6,17,7,1,False,0,0
1626.99,subscription_mandate,insufficient_funds,1,0.2,9,11,2,0,False,1,1
3119.38,subscription_mandate,bank_outage,1,0.4,25,20,14,1,True,1,1
5245.2,card,bank_outage,1,1.2,9,9,13,2,False,0,0
7915.34,card,insufficient_funds,3,0.5,8,17,10,1,True,1,0
1431.41,subscription_mandate,card_expired,1,4.6,8,11,1,1,False,1,1
1701.32,card,insufficient_funds,1,2.0,15,13,14,0,True,0,1
7315.61,upi,insufficient_funds,1,5.8,2,8,15,0,True,1,1
10401.84,card,card_expired,1,2.7,12,10,7,0,False,1,1
1940.14,upi,high_risk_fraud,2,2.6,10,9,15,0,True,0,0
1015.13,subscription_mandate,insufficient_funds,1,3.3,28,17,1,1,False,1,1
1163.69,card,bank_outage,2,0.4,14,9,5,1,False,0,1
813.02,upi,insufficient_funds,1,0.6,27,11,11,0,True,1,1
2859.56,card,bank_outage,2,2.0,15,14,4,1,False,0,1
3371.36,card,card_expired,1,4.6,2,0,7,0,False,1,0
2257.95,upi,card_expired,1,0.5,12,16,14,2,True,0,1
386.67,card,bank_outage,2,1.1,4,15,4,1,True,0,1
1200.47,card,high_risk_fraud,1,1.5,20,15,3,1,False,0,0
1732.37,upi,insufficient_funds,1,0.9,29,16,5,0,False,1,1
1628.53,upi,card_expired,3,3.4,15,12,3,0,False,1,1
4064.68,upi,insufficient_funds,1,0.1,11,19,4,1,True,0,1
3711.0,card,insufficient_funds,1,1.3,16,1,2,1,False,0,1
8244.07,card,network_timeout,1,0.8,3,17,13,1,True,0,1
1239.37,card,authentication_failed,1,0.6,18,13,3,0,False,0,1
777.79,card,card_expired,1,4.8,16,9,0,1,False,1,0
2336.3,card,bank_outage,1,2.0,30,22,4,3,True,0,1
764.29,upi,insufficient_funds,3,0.9,3,11,4,0,True,1,1
1349.02,card,network_timeout,3,4.7,4,20,4,0,True,1,1
5806.67,upi,insufficient_funds,1,4.5,21,12,7,0,True,0,1
1754.29,card,card_expired,1,0.1,21,12,9,1,False,0,1
918.2,card,card_expired,4,1.1,17,15,2,2,False,0,0
3432.61,upi,high_risk_fraud,1,3.5,4,7,15,0,True,0,0
4606.42,upi,card_expired,1,0.8,4,9,7,1,False,0,1
4629.38,card,insufficient_funds,5,0.3,11,18,13,0,True,0,1
6256.83,subscription_mandate,network_timeout,3,3.6,19,18,5,0,False,1,0
884.29,card,insufficient_funds,1,1.1,7,7,7,3,False,0,0
3321.28,card,insufficient_funds,2,9.4,29,12,15,1,True,0,1
11413.84,upi,insufficient_funds,1,0.2,27,13,8,1,False,0,1
1194.78,card,insufficient_funds,1,1.6,31,17,12,1,False,0,1
5907.07,netbanking,insufficient_funds,1,1.8,30,9,14,3,True,0,1
1981.81,card,authentication_failed,1,6.9,21,20,12,2,True,1,0
4413.77,subscription_mandate,card_expired,4,2.4,27,7,8,0,True,1,0
7811.86,card,insufficient_funds,1,1.9,16,17,6,2,False,0,1
1983.03,card,network_timeout,2,1.6,26,19,6,0,True,0,1
4173.13,upi,card_expired,2,3.2,12,11,2,1,False,0,0
2161.82,card,insufficient_funds,1,4.1,30,16,1,0,False,0,1
1782.78,card,insufficient_funds,1,5.2,28,10,6,0,True,1,1
2967.04,subscription_mandate,network_timeout,1,7.6,29,18,12,0,True,1,1
1554.61,card,insufficient_funds,1,1.4,10,18,2,3,False,0,1
1713.31,upi,insufficient_funds,1,3.1,20,19,24,0,True,1,0
25299.63,upi,card_expired,1,1.1,9,14,12,1,False,1,0
5789.28,upi,card_expired,3,1.0,30,12,5,0,True,0,0
2282.12,upi,network_timeout,1,5.7,12,9,5,3,True,1,1
1648.92,upi,card_expired,2,3.4,7,12,6,2,True,1,1
3365.43,upi,network_timeout,1,0.1,21,11,3,1,False,0,1
7775.12,card,insufficient_funds,1,5.0,16,9,7,0,True,0,1
1756.26,card,authentication_failed,1,2.9,26,17,3,1,False,0,1
21575.41,card,bank_outage,1,0.6,10,9,3,0,False,1,1
11169.9,card,network_timeout,2,1.4,8,17,9,0,True,0,1
4466.92,card,network_timeout,1,1.9,4,18,1,1,False,0,0
848.09,card,bank_outage,2,0.7,30,21,6,1,True,0,1
833.36,card,insufficient_funds,1,1.8,19,14,2,0,False,1,1
2104.69,card,card_expired,1,0.9,6,4,10,0,False,1,1
2667.27,card,card_expired,3,14.0,1,6,7,0,True,0,0
7984.07,card,high_risk_fraud,1,1.6,25,14,9,0,True,0,1
3536.92,upi,bank_outage,3,5.4,27,11,13,1,True,0,1
